current_label,gcs_uri,human_label,frame_no,video_id,unique_id
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/21.jpg,FALSE,21,000000,000000_21.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/47.jpg,FALSE,47,000000,000000_47.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/99.jpg,FALSE,99,000000,000000_99.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/107.jpg,FALSE,107,000000,000000_107.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/117.jpg,FALSE,117,000000,000000_117.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/129.jpg,FALSE,129,000000,000000_129.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/147.jpg,FALSE,147,000000,000000_147.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/152.jpg,FALSE,152,000000,000000_152.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/167.jpg,FALSE,167,000000,000000_167.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/186.jpg,FALSE,186,000000,000000_186.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/201.jpg,FALSE,201,000000,000000_201.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/211.jpg,FALSE,211,000000,000000_211.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/235.jpg,FALSE,235,000000,000000_235.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/238.jpg,FALSE,238,000000,000000_238.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/252.jpg,FALSE,252,000000,000000_252.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/264.jpg,FALSE,264,000000,000000_264.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/270.jpg,FALSE,270,000000,000000_270.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/273.jpg,FALSE,273,000000,000000_273.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/277.jpg,FALSE,277,000000,000000_277.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/310.jpg,FALSE,310,000000,000000_310.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/311.jpg,FALSE,311,000000,000000_311.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/312.jpg,FALSE,312,000000,000000_312.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/327.jpg,FALSE,327,000000,000000_327.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/343.jpg,FALSE,343,000000,000000_343.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/344.jpg,FALSE,344,000000,000000_344.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/353.jpg,FALSE,353,000000,000000_353.jpg
FALSE,gs://w251-accident-detection/extracted_frames/extracted_frames/000000/358.jpg,FALSE,358,000000,000000_358.jpg
